20 000 лье под водой,"драма,стимпанк,приключенческий фильм",Ричард Флейшер,США
20 000 лет в Синг-Синге,Криминальная мелодрама,Майкл Кёртис,США
18 килогерц,драма,Фархат Шарипов,Казахстан
14+,мелодрама,Андрей Зайцев,Россия
15 августа,комедия,Патрик Алессандрен,Франция
«16 кварталов»,"криминальный фильм,драма,триллер",Ричард Доннер,США
14+: Продолжение,мелодрама,Андрей Зайцев,Россия
15 минут славы,"Криминальная драма,боевик",Джон Херцфелд,США
16 желаний,"подростковая,фэнтезийная комедия",Питер Делуиз,США
18 бронзовых бойцов,"боевик,драма",Джозеф Го,"Гонконг,Китайская Республика"
17 девушек,,,Франция
14 клинков,"боевик,триллер",Дэниел Ли,"Гонконг,Китай"
14 июля,комедия,Рене Клер,Франция
14 амазонок,"приключенческий фильм,драма,военный фильм","Чэн Ган,Дун Шаоюн",Гонконг
13-я жертва,ужасы,Мэл Хаус,США
13-й участок,"криминальный фильм,драма,экранизация",Мартин Фрич,Чехословакия
13-й район: Ультиматум,боевик,"Патрик Алессандрен,фр.",Франция
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"Франция,Канада"
13-й район,"антиутопия,боевик",Пьер Морель,Франция
13-й знак,Ужасы,"Джонти Эктон,Адам Мэйсон",Великобритания
Тринадцатый апостол,фантастический фильм,Сурен Бабаян,СССР
13 часов: Тайные солдаты Бенгази,"военный,драма,триллер",Майкл Бэй,США
13 убийц,боевик,Такаси Миикэ,Япония
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия
13 призраков,фильм ужасов,Уильям Касл,США
13 изгнаний дьявола,фильм ужасов,,
13 друзей хунты,документальный,,Россия
13 дней во Франции,"документальный фильм,спортивный фильм","Клод Лелуш,Франсуа Рейшенбах",Франция
13 грехов,"триллер,фильм ужасов",,США
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния
12 стульев,"комедия,мюзикл",Марк Захаров,СССР
12 стульев,комедия,Леонид Гайдай,СССР
12 стульев,телеспектакль,Александр Белинский,СССР
12 раундов: Перезагрузка,"боевик,триллер","[d],[1],[2]",США
12 раундов,"боевик,триллер,криминал",Ренни Харлин,США
12 разгневанных мужчин,[d],Уильям Фридкин,США
12 разгневанных мужчин,драма,Сидни Люмет,США
12 обезьян,"фантастика,триллер,драма,антиутопия",Терри Гиллиам,США
12 могил Ходжи Насреддина,"комедия,сказка",Климентий Минц,СССР
12 месяцев. Новая сказка,"фильм-сказка,комедия,мелодрама,семейный фильм",Денис Елеонский,Россия
12 месяцев,комедия,Александр Баршак,Россия
12 лет рабства,"историческая,драма",Стив Маккуин,США
12 дней террора,"ужасы,триллер,драма",Джек Шолдер,ЮАР
«12»,"психологический,триллер,юридический,детектив,драма,артхаус",Никита Михалков,Россия
11.6,"драма,Саундтрек",Филипп Годо,Франция
11:14,"Триллер,детективный фильм,криминал,чёрная комедия",Грег Маркс,"США,Канада"
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,"США,Испания"
11 сентября,"драма,исторический,киноальманах","Самира Махмальбаф,Клод Лелуш,Юсеф Шахин,Данис Танович,Идрисса Одрраого,Кен Лоуч,Алехандро Гонсалес Инарриту,Амос Гитай,Мира Наир,Шон Пенн,Сёхэй Имамура","США,Иран,Франция,Израиль,Буркина-Фасо,Индия,Япония,Босния и Герцеговина,Египет,Мексика,Великобритания"
10 причин моей ненависти,романтическая комедия,Джил Джангер,США
10 шагов к успеху,комедийная драма,,США
10 на 10,триллер,,Великобритания
10 миль в час,Документальное кино,рус.,"США,США"
10 лет спустя,"драма,романтическая комедия",Джеми Линден,США
«10 000 лет до нашей эры»,приключенческий боевик,Роланд Эммерих,"США,ЮАР"
9/11,"драма,фильм-катастрофа",,США
9 смертей ниндзя,боевик,Эмметт Олстон,США
9 рота,"военно,исторический,боевик,драма",Фёдор Бондарчук,"Россия,Украина"
9 песен,"драма,мелодрама,музыкальный фильм,эротика","Майкл Уинтерботтом,[1],[2],[…]",Великобритания
9 месяцев строгого режима,комедия,Альбер Дюпонтель,Франция
9 мёртвых геев,"драма,комедия",,Великобритания
9 мая. Личное отношение,,"Авдотья Смирнова,Александр Котт,Владимир Котт,Евгений Лаврентьев,Карен Оганесян,Максим Пежемский,Егор Кончаловский,Василий Чигинский",Россия
9 душ,фильм-драма,Тосиаки Тоёда,Япония
9 апреля,,,
8-битное Рождество,комедия,Майкл Даус,США
8 свиданий,Романтическая кинокомедия,,Испания
8 подруг Оушена,"кинокомедия,криминальный фильм",Гэри Росс,США
8 первых свиданий,комедия,,"Россия,Украина"
8 миллиметров,"триллер,криминал",Джоэл Шумахер,"США,Германия"
8 лучших свиданий,"комедия,мелодрама",Марюс Вайсберг,"Россия,Украина"
8 женщин,"мюзикл,комедия,детектив",Франсуа Озон,"Франция,Италия"
8 ½ $,комедийный фильм,Григорий Константинопольский,Россия
7:35 утра,"короткометражный,музыкальный",Начо Вигалондо,"Испания,[1]"
007: Спектр,шпионский фильм,Сэм Мендес,"Великобритания,США"
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,"Великобритания,США"
Ноль-седьмой меняет курс,"боевик,драма",Владимир Потапов,Россия
7 ящиков,"триллер,криминал","Хуан Карлос Манелья,Тана Шембори",Парагвай
7 секунд,боевик,Саймон Феллоуз,"США,Румыния,Швейцария,Великобритания"
7 женщин,драма,Джон Форд,США
7 дней и ночей с Мэрилин,"драма,биография",рус.,Великобритания
7 дней до смерти,"драма,фильм ужасов,триллер",,"США,Германия,Чехия"
7 главных желаний,"комедия,мелодрама",,Россия
6-й день,киберпанк,Роджер Споттисвуд,США
6 дней,"боевик,триллер",Тоа Фрейзер,"Великобритания,Новая Зеландия"
5×2,"мелодрама,драма",Франсуа Озон,Франция
5-я волна,"постапокалиптика,научная фантастика",,США
5 терапия,"драма,триллер,биография",,Украина
5 разбитых камер,документальный фильм,,"Израиль,ПНА,Франция,Нидерланды"
5 причин не влюбиться в казаха,комедийный фильм,,Казахстан
5 неизвестных...,триллер,,США
5 недель,трагикомедия,,Россия
5 дней в августе,"военный,боевик",Ренни Харлин,"США,Грузия"
4.3.2.1,"триллер,электро-хаус,соул,R’n’B,хип-хоп,грайм",Ноэль Кларк,Великобритания
4 листа фанеры,детектив,"Иван Гаврилюк,Сайдо Курбанов",Украина
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР
4 маленькие девочки,,Спайк Ли,США
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния
4:44. Последний день на Земле,"драма,фантастика",Абель Феррара,США
4 x 4,,,"Финляндия,Норвегия,Швеция,Дания"
4 дня в мае,"военная,драма,боевик",Ахим фон Боррис,"Германия,Украина,Россия"
2pac: Легенда,"байопик,драма,боевик",,США
2:37,"драматический фильм,[1],[2]","[d],[1],[2],[…]",Австралия
2+1,"драма,семейный,Музыка к фильму",Хьюго Желен,"Франция,Великобритания"
2:22,триллер,рус.,"США,Австралия"
